Designator,Footprint,Comment
J5,Wuerth_WR-WTB_64800411622_1x04_P1.50mm_Vertical,Control
J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,Power
C11,C_Elec_4x5.4,10uF
R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10
AE2,U.FL_Hirose_U.FL-R-SMT-1_Vertical,Anten.
SW1,SW_SPST_CK_RS282G05A3,Reset
U2,SOIC-16_3.9x9.9mm_P1.27mm,CH340G
"R3,R6,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470
J6,Wuerth_WR-WTB_64800811622_1x08_P1.50mm_Vertical,Camera
D1,LED_1206_3216Metric,conn.
J1,PinHeader_2x03_P2.54mm_Vertical,SPI
"D5,D4",D_SMA,SS32
C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1nF
"C4,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF
"C1,C7,C2,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22pF
J7,USB_Micro-B_Molex_47346-0001,USB
AE1,MMCX_Molex_73415-1471_Vertical,Antenna
U4,SOT-223-3_TabPin2,AMS1117-3.3
C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF
Y1,Crystal_SMD_HC49-SD,16MHz
Y2,Crystal_SMD_HC49-SD,12MHz
D6,LED_1206_3216Metric,Tx_LED
J2,PinHeader_1x04_P2.54mm_Vertical,UART
U3,TQFP-32_7x7mm_P0.8mm,ATmega328P-A
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k
D3,LED_1206_3216Metric,Rx_LED
D2,LED_1206_3216Metric,Power
C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.47uF
R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,200
U1,HOPERF_RFM9XW_SMD,RFM95W-868S2
