Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna,MMCX_Molex_73415-1471_Vertical,129.095,-79.495,0,top
AE2,Anten.,U.FL_Hirose_U.FL-R-SMT-1_Vertical,134.925,-79.155,-90,top
C1,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.055,-104.765,90,top
C2,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141.565,-104.015,-90,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.3725,-98.165,180,top
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.2,-108.34,-90,top
C6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.1,-108.3775,-90,top
C7,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.175,-122.025,90,top
C8,0.47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,158.965,-123.2275,-90,top
C9,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.435,-122.015,90,top
C10,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141.215,-122.245,0,top
C11,10uF,C_Elec_4x5.4,140.61,-118.675,0,top
D1,conn.,LED_1206_3216Metric,135.115,-100.815,0,top
D2,Power,LED_1206_3216Metric,153.275,-113.815,180,top
D3,Rx_LED,LED_1206_3216Metric,116.73,-86.2,180,top
D4,SS32,D_SMA,123.9375,-109.4275,180,top
D5,SS32,D_SMA,153.165,-119.365,180,top
D6,Tx_LED,LED_1206_3216Metric,116.73,-83.74,180,top
J1,SPI,PinHeader_2x03_P2.54mm_Vertical,132.835,-86.095,0,top
J2,UART,PinHeader_1x04_P2.54mm_Vertical,145.765,-125.365,0,top
J4,Power,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,151.165,-123.765,0,top
J5,Control,Wuerth_WR-WTB_64800411622_1x04_P1.50mm_Vertical,115.365,-105.165,-90,top
J6,Camera,Wuerth_WR-WTB_64800811622_1x08_P1.50mm_Vertical,115.415,-90.215,-90,top
J7,USB,USB_Micro-B_Molex_47346-0001,115.39,-116.8525,-90,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,150.825,-98.175,180,top
R2,200,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,135.515,-98.515,180,top
R3,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,152.825,-116.235,0,top
R4,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.865,-123.265,-90,top
R5,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.71,-78.81,90,top
R6,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.72,-78.82,90,top
SW1,Reset,SW_SPST_CK_RS282G05A3,121.365,-86.265,-90,top
U1,RFM95W-868S2,HOPERF_RFM9XW_SMD,146.815,-85.605,90,top
U2,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,128.89,-123.4525,0,top
U3,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,125.765,-98.115,-90,top
U4,AMS1117-3.3,SOT-223-3_TabPin2,138.965,-111.535,-90,top
Y1,16MHz,Crystal_SMD_HC49-SD,148.065,-107.965,-90,top
Y2,12MHz,Crystal_SMD_HC49-SD,126.715,-115.165,180,top
