Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Anten.,U.FL_Hirose_U.FL-R-SMT-1_Vertical,180,-72.075,-90,top
AE2,Antenna,MMCX_Molex_73415-1471_Vertical,174.66,-72.03,0,top
BZ1,Buzzer,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,123,-91.25,180,top
C1,10uF,CP_Elec_4x3,111.325,-87.25,180,top
C2,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.085,-112.38,0,top
C3,0.47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.59,-99.21,0,top
C4,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.085,-114.44,0,top
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.3625,-88,0,top
C6,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.0875,-116.46,180,top
C7,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.4,-95.8,180,top
C8,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.4,-93.8,180,top
C9,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.6,-99.4375,90,top
C10,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,183.95,-77.2,0,top
C11,NC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,173.04,-91.16,90,top
C12,NC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,183.9125,-81.2,0,top
C13,NC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,158.7025,-84.21,0,top
C14,NC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,167.64,-80.09,90,top
C15,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,148.84,-82.98,0,top
C16,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,152.77,-82.99,0,top
D1,SS32,D_SMA,120,-80.75,-90,top
D2,LED,LED_1206_3216Metric,124.6,-77.02,0,top
D3,Error Ind.,LED_1206_3216Metric,123.8,-99.9,-90,top
D4,BZV55B5V1,D_MiniMELF,128.6475,-85.59,180,top
D5,SS32,D_SMA,116.3,-80.75,90,top
D6,Power Ind.,LED_1206_3216Metric,124.6,-80.82,0,top
D7,RX_LED,LED_1206_3216Metric,111.485,-107.44,180,top
D8,TX_LED,LED_1206_3216Metric,111.485,-110.04,180,top
J1,Servo,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,134.95,-68.73,90,top
J2,USB,USB_Micro-B_Molex_47346-0001,110.155,-95.25,-90,top
J3,SPI,PinHeader_2x03_P2.54mm_Vertical,136.575,-109.505,90,top
J4,UART,PinHeader_1x04_P2.54mm_Vertical,132.88,-115.75,90,top
J5,ESC,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,159.74,-68.72,90,top
J6,ESC,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,155.13,-68.71,90,top
J7,ESC,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,150.52,-68.72,90,top
J8,ESC,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,145.89,-68.72,90,top
J9,ESC,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,141.26,-68.7,90,top
J10,Proximity,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,131.53,-121.18,-90,top
J11,Servo,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,130.31,-68.69,90,top
J12,Servo,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,125.7,-68.67,90,top
J13,Servo,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,121.08,-68.66,90,top
J14,POWER,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,111.5,-73.25,-90,top
J15,Proximity,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,136.32,-121.2,-90,top
J16,Proximity,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,141.09,-121.19,-90,top
