Designator,Footprint,Comment
Y2,Crystal_SMD_HC49-SD,16MHz
Y1,Crystal_SMD_HC49-SD,12MHz
U4,HOPERF_RFM9XW_SMD,RFM95W-868S2
U3,TQFP-32_7x7mm_P0.8mm,ATmega328P-A
U2,SOT-223-3_TabPin2,AMS1117-3.3
U1,SOIC-16_3.9x9.9mm_P1.27mm,CH340G
SW1,SW_SPST_CK_RS282G05A3,Reset
R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k
R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,200
"R4,R3,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10
J6,PinHeader_2x03_P2.54mm_Vertical,SPI
J5,PinHeader_1x04_P2.54mm_Vertical,UART
J2,USB_Micro-B_Amphenol_10118194_Horizontal,USB
D6,LED_1206_3216Metric,conn.
D5,LED_1206_3216Metric,Tx_LED
D4,LED_1206_3216Metric,Rx_LED
D3,LED_1206_3216Metric,Power
D2,D_SMA,SS32
"C10,C9,C3,C1",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22pF
"C8,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF
C7,C_Elec_4x5.4,10uF
C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF
C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1nF
C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.47uF
AE2,U.FL_Hirose_U.FL-R-SMT-1_Vertical,Anten.
AE1,MMCX_Molex_73415-1471_Vertical,Antenna
