Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna,MMCX_Molex_73415-1471_Vertical,203.43,-91.14,0,top
AE2,Anten.,U.FL_Hirose_U.FL-R-SMT-1_Vertical,203.42,-96.27,-90,top
C1,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,179.34,-78.7625,-90,top
C2,0.47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,182.34,-81.4575,-90,top
C3,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,179.24,-72.3375,90,top
C4,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,181.28,-72.3275,90,top
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.98,-76.6425,90,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,162.09,-76.64,90,top
C7,10uF,C_Elec_4x5.4,193.805,-103.31,0,top
C8,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.5625,-99.74,0,top
C9,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,178.7975,-103.79,180,top
C10,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.36,-103.63,0,top
D2,SS32,D_SMA,186.43,-75.59,0,top
D3,Power,LED_1206_3216Metric,155.25,-83.22,90,top
D4,Rx_LED,LED_1206_3216Metric,157.64,-83.23,90,top
D5,Tx_LED,LED_1206_3216Metric,160.02,-83.22,90,top
D6,conn.,LED_1206_3216Metric,162.47,-83.24,-90,top
J2,USB,USB_Micro-B_Amphenol_10118194_Horizontal,187.12,-70.48,180,top
J5,UART,PinHeader_1x04_P2.54mm_Vertical,157.27,-90.84,0,top
J6,SPI,PinHeader_2x03_P2.54mm_Vertical,171.06,-82.25,-90,top
R1,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,184.41,-81.47,-90,top
R2,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.03,-76.64,90,top
R3,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.02,-76.64,90,top
R4,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.01,-76.64,90,top
R5,200,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.46,-89.91,-90,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.85,-101.57,180,top
SW1,Reset,SW_SPST_CK_RS282G05A3,194.97,-75.13,-90,top
U1,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,167.475,-73.895,180,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,202.0325,-81.64,-90,top
U3,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,169.4,-92.85,90,top
U4,RFM95W-868S2,HOPERF_RFM9XW_SMD,187.875,-92.2,0,top
Y1,12MHz,Crystal_SMD_HC49-SD,175.545,-75.55,90,top
Y2,16MHz,Crystal_SMD_HC49-SD,169.75,-103.8,180,top
